47394 businesses are restaurants.
('O8S5hYJ1SMc8fA4QBtVujA', 'La Bastringue')
('nfJHNu_AQXptaTQIHjpAoQ', 'LongHorn Steakhouse')
('lYlVsbhDrglWDdhh7OTM2w', 'Rendezvous Cafe')
('UZilBC8-jkGrR8y9AFrCgA', 'Maker Pizza')
('r8hVqm9DeasZ0Bf2KMhbeg', 'Crackers & Co Cafe')
('0gVPTer9PnXRmSjuHt-XgQ', 'Silver Inn Restaurant')
('GH5gbLHw05toW6ePNIUzTw', 'Los Toritos Express')
('ycAmQ9kRi5iB9OyJONacBQ', 'Paradise Bakery & Cafe')
('lAFCW5rCTRCIDQWzEpysbA', "Rosati's")
('aF6cB7BtV3lXQhJoLuESGw', 'La Mojarra Loca')
('ySRaNkXgv0jmuT4HhmgSog', 'WisePies Pizza & Salad')
('ZiRSzqyOQSSvpuFcCeKAeQ', 'Centrale Bergham')
('yuFdJdrnfMp3cfXVwTXjjA', 'Nakayoshi Izakaya')
('c7rqIXZHxjS_VVzUlyQeVA', 'Slumdog Bar & Grill')
('izR8yDpeFmI3vGylKc7Bsg', 'Restaurant La Hacienda')
('DGOhEsZL9pyAWZ8pPm9WPA', 'Border MX Mexican Grill')
('DItq9Zsk81f6xJWG0-yNOQ', 'Pizza 73')
('zJ9NdZoehzdURLEKUKcMIg', 'Pizza Romano')
('55frSWq_Thx5iqN-S1Wd7w', 'Deux - Cave à Manger')
('ibFdignja_hNpgCjDYP7Ug', "Wahoo's Fish Tacos")
('HV2vPReKp0n0E6zgjsu4Mg', 'Garnachas Mexican Street Food')
('hqSgVJUBj4vlP9EvfPuyxQ', 'La Vita')
('cwQwLJMaTA2Zm0LfPx4diw', 'Basil Box')
('BV2pu4RpRr4XdcZd3dI3_A', 'Pochiche')
('QgrxN-PyUWaIab41-RrTwg', 'Au Bon Pain')
('K6JBV6RTa8eMYIJ7RVP4Bg', "Culver's Frozen Custard")
('ZqsYnJOa3Bt5ZSLyppDNng', "Le Roi de L'Inde")
('uFqC_ZlwX7Mvgk7Lz_BCHA', 'Roosters')
('4ZAy5ZCTWbduzzhtR0egHQ', 'Wingstop')
('lTbbJIpb2u2sb-tGnogeTQ', "McDonald's")
('Y4aFR2VSgSz07idEJEX3yg', 'Viva Tequis')
('LtilhdZm9gb2dNm6OFHg_w', 'Mariachi and Cocos')
('-cuzw1pcZ_UcdA4Qxc5YYg', 'Little Master')
('Jnw072ogcKlp758gI_PTjQ', 'The Grille Restaurant & Bar')
('tzoUxh1HXllUijtAkO6w0Q', 'Peking Express Chinese Restaurant')
('6zi7dAlnk7vgvlGbUMoKkA', 'Maverick Rock Taco')
('Lyzr1uckXL0U-iBoMc0yfg', 'Makimono')
('G8SFOD9TKCSic2o0hyKc0Q', 'Ace Of Steaks')
('_yGc7ca7SxPKMG6VjMVAbg', 'Green Mango')
('HnCKI2Pxye-b26V6UDRsYQ', "Arby's")
('E3uHQoBN3djCRHSBg8RrdA', 'Mamie Clafoutis')
('7T_2djdY6ldRugsuWb2S-A', "Cora's")
('-mQpuiMYGVYUUXd-gbKsYA', 'Kobe')
('OFbiUooV4CqLjrvdOBXz-A', 'Branca')
('Ne4SRJFjZGM6GHr2VJ6gnQ', 'Taco Bell')
('JFoePHkTuW2qQ5Qoi1JkTQ', 'Waffle House')
('wSE-e7FsISpnpF5sN8ZuaQ', 'Asia de Cuba')
('0Tl7HgQfU2lkn_FvbYd-MQ', 'Planete Poutine et Cie')
('C7THMIn4be6NKgbzuLZ-cA', "Kloster's Butcher Shop")
('SYhiOIAvxBNHt5QEQpu8dg', 'Avec Bistro')
('swQkNTXXg_j27u27iSiwbg', 'Quik Chik')
('qnsqf81chWm3KndLt9KUTA', "Chili's")
('hT5kvnJnBWzUWrSpqg3byg', 'The Sky Stars')
('sRbDTM-Fn2lMd3dLOhMjOg', 'Pho Viet')
('lqc424ErH0U6Z4eg-k_cQQ', "Mandy's")
('LBt8u4ZQc649G5Oaa8OXKQ', 'Center Street Tavern & Restaurant')
('E3qxMkbKxQR6Aca36c53GA', 'Helpings Cafe, Market and Catering')
('mdKSq2mfp1M8tfbjmbyv4Q', 'Loafers Bread Co')
('wjzCw6rBDwnfZVKkM02jXQ', 'Pad Thai Express')
('WDizddkAgaQNYA0EbQLCzA', "Wendy's")
('5UK1KtbB1dHTCo0LNDVslA', "Gus's SIR Beef Restaurant")
('HPtTqirOkZArADg2FLr0eg', 'pizzaBOGO')
('_ONkRPvpIYdCuj9u6cIPeA', 'Miu Garden')
('3-Bm90nXNtwLFyDtlj9olQ', 'Myung Sung')
('eVsO9Bx4-fty-uTzWdZKHg', "Armando's Mexican Food")
('fIBrbhvU9T2PZuch_wBK_g', 'Panago Pizza')
('H99aadKfIQ3RZ6joDn7FuQ', 'Subway')
('TYLxdNFuszbS3ngvlqLUCg', 'Thai Fay Cuisine')
('_4KoAOFWFBu7xCoKtZfv6A', "McAlister's Deli")
('SCMdyJJUwjpUmfMVlT_H7Q', 'Prime Tandoori House')
('fxRcHzovnRyWh_WMdQoNOQ', 'Taj Restaurant')
('tgiQx58FRyy6w-pEjoxjSA', "McDonald's")
('wgAPiE2YllXAYOHPWPGc_w', 'Kam Han')
('DPLkYvNHNBEs0teU95Ocfw', "Miss Cora's Kitchen")
('FXCnmBZvK_7vaXOIv8txmw', 'Smokin Thyme Kitchen')
('3lRXNifVJDgqylwaQEHvGw', 'Dairy Queen')
('RMXjpVB2eg8srPIIdWGLsw', 'Taste My Love')
('9kNKaBFLbD0oOgSLcVnWgw', 'Piccolino Hale')
('la4mM0mSexjkOLe1goXJPg', 'Hotopia Sichuan Cuisine')
('7Lbfc0bZYtQ_81ieAc2ppw', 'Subway')
('Z5eukYH32_nFljOTC2DJ0g', "Grimaldi's Pizzeria")
('2CJ_dl2uQkP-HiRA5X2JXA', 'La Montée de Lait')
('WroANm_x9jIO_tr_Wf8Dkg', 'My Thai By The Lake')
('oC0KbycJypbO-MioSf-PbQ', "Shillelagh's Pub")
('NQRm_I1FK-r7xd1tVRcb6g', 'Texas Roadhouse')
('2Hp-7pC5FkOpcS_utf-olg', "McDonald's")
('AvtX_PVdaaDPEZNIcGzbOw', 'Track Side Grill')
('hZuRyS8IXXuEQkUCas9O1Q', 'Ottimo Ristorante & Pizzeria')
('ynmTXY9yJDiNkO4HUmxRSQ', 'KaKa All You Can Eat')
('Vl72sVAt67tQ5TT-6wBpkg', "Hungry Howie's Pizza")
('UUsS7SrTQQ2AvvpslfrvFA', 'Legends')
('uGwwPkw2AEvKkVHiSufhzQ', 'Jim Gould')
('HNQzTcyaW3PwJ2oC8vKWHw', "Filiberto's Mexican Food")
('kpJinFc_7yTK9v7iYhLxqw', 'Wendys')
('qRTbYc7ennnwfr992kfjdA', 'Caffino Ristorante')
('VGwPrBPlbD24SZAT_b0JBw', 'China China Palace')
('loXkZgAd70KMjP8ISCnZPQ', 'China Express')
('1_Dg-GguWatioW4mvFQKQA', 'Little Tokyo Bistro')
('bB9JPvR2d-I1jxSVlqN2DQ', 'Yum Croissant')
('TDTASGFy_aGp6vy0i23mDA', 'Jack in the Box')
('ZMmgFw2P4LWsFXNn1ZGc1g', "Buster's Sea Cove")
('sEKFq5u8P_s0-2mAZnx0JQ', 'Jimmy Restaurant')
('rYziPPEILDXJ_F5uKR--YQ', 'Bollywood Bites')
('pybIuTluqRhH_BQ3CJHlLw', 'Pin Kaow Thai')
('ene4kjtpR11Leves43JunQ', 'Zante')
('vcMD6mZfvjtAxuCMoAfSNA', 'My Big Fat Greek Express')
('fDCFe_I0l0c-11ERiwUoAA', 'Pho Da Son')
('eVT4x0XOzyfIrSWswdQO-A', 'Mr Sub')
('2V8r_VDFqbGNZclTW25FGg', 'Mr. Greek')
('_W6zeVJfbo-yxL_vXUhYHg', 'Jacx Restaurant Bar And Grill')
('mkZFZkuue9am7PRp9dt1jA', 'La Original Michoacana')
('z_vCijesFnp1zt9-sZkMmA', 'Mt. Nebo Pizza Roma')
('g9otJ_FZ3D0BxqTEJetuUw', "Olive Oil's Pizzeria")
('hbp72ML8BHykBztI6mWOIw', 'Pizza Nova')
('DrT7CmORi5o_jQRC0DhBIA', 'Sushi Sushi Japanese Restaurant')
('YcAy30XJOUa72kZMt61jsA', "East Side Mario's")
('lVaHDON2mxLr5mneUnawKg', 'Pastries N Chaat')
('98NaJ8FWzPuoymHfj6IIeA', "Ming's Noodle Cafe")
('eQmGP0FEnewPoW_jBXsg4A', 'Greenhouse Juice')
('le1qCRgM-wtKvfeKClbnHQ', 'Tokyo Sushi')
('r71RUi85E60aGuhVqXWjKA', 'Hakka No 1 Restaurant 2')
('CpGUTcon4cwFxerQUcA22A', 'Sakkio Japan')
('zLHOG9ty0OcXSQ6iy2BwwA', "McDonald's")
('z8Cw9KBnDj3X40H9fXElYw', 'New Peking Express')
('EZAbslPkwwk99wCKWxx-9Q', 'Musketeers Bar & Grill')
('dpKY8_Rz1kofRBD8w_i_0A', 'Popeyes Louisiana Kitchen')
('f4vb5tv60WaBcwzRhKpANA', "Nanny's")
('BxRsg5YTYnxXEhoGcabydg', 'Wandering Donkey')
('slTQ6iUD_Wg4piK0R8m4kw', 'Fine Poutine & Cholestérol')
('VAHzYaJ5IHjhyONndhqilA', 'Smoothie Run - Gilbert')
('9iJMGMsTK-q6W5MB1_Ny3Q', 'Dynasty Chinese Restaurant')
('LyuDnoxI8yiPPmwcF62bfw', "Papa John's Pizza")
('xmGvhfOxjz9JG1ktVAzhMQ', 'Montreal Pool Room')
('iTwYEwBqer2O4OkI_7Ef9A', 'Boulder Pit Stop')
('1LG6qcTXLCCaZmIEHwSDeg', 'Pita Licious')
('Clq09vq8uOjAbGY3BaQWDQ', 'Takamatsu Of Chandler')
('9CJGlFmrHBt9htRv6on32A', 'I C Coffee House')
('lQDp3ghunlMRdykPu0C1lQ', 'Wise and Wright')
('EMh5InDTEfGGCowRy_pJZA', 'Shangri-La Hot Pot Restaurant')
('wYEAocX0vkcGN-i5rSszrg', 'El Patron Mexican Restaurant & Oyster Bar')
('Q6f-wJvMLbfcypKMJnad3w', 'West City SnackBar')
('IVRKnmEK2QcqYT-M3zXgfw', 'Java House Cafe')
('uxRJK2IhPjy1pzTF17X1zQ', "Wendy's")
('nk7BE6tOEdhNcbQcaEtGCw', "Szmidt's Old World Deli")
('bITJXsOT4hCqahJc1dHMDQ', 'My Big Fat Greek Gyro')
('XrpWb4vB7-1z26OreeCD2w', 'The Simple Greek')
('1mGHeSYj-iCilxQYLXSlUg', 'Luciano Trattoria')
('IgK6pMqEJ7vQS2-2qMl2vw', 'Pizza Bistro')
('RDqut1o5n3wuwUZa0CJ3jg', 'Kingsway Fish & Chips')
('jxV-rtwx1GtpMlMV6d7D4Q', 'Wings & Wings')
('XDBup2mt8sp0UadZdooDJg', 'Marca Trattoria Pizza Pasta')
('DQoxF7u3SelehcrkzLUR-A', 'Restaurant Elatos Souvlaki')
('1FK7hoiPMPEPG0bRL4bi9Q', "Tom's Seafood Restaurant")
('ZKSivkZcnH-nfqcIS8PUWA', 'The Spice Room')
('pPO_UXvffah1uKhMlo9LBw', 'Haven Espresso Bar')
('wQW3nEd9ZTej8EmVF7FujQ', 'Oro Azul')
('_V4I3DfzYbIHL77XDaVM-Q', 'Gourmet Wok')
('uXft-y53ujmlAt0SH-5KYg', 'Lindos Restaurant')
('9zLrzkqORd80CCaHQjveVw', 'Pizza Hut')
('sa9eylPTl5VEx2xHQ8Bx4w', 'Pizza Hut')
('WIT9QNiSIFqoLbP1mKfVFg', 'Subway')
('3udJ8W4wLdQi22KmPDLdUg', 'The Wingery')
('-FyvAo_bNe6eXWpEHpSUrQ', 'Sushi In Sushi')
('XUw8v38VCVn1upZxv1_FQw', 'Levilla Restaurant')
('Pr7DBM2aMXfnmiYyf5H4-Q', 'Kim Chi')
('T9tfclpJf5bFKiNcNcI6xw', 'La Belle Province')
('R8ft_fn8y9ejKoYnQwdByg', 'Cafe 668')
('Ylw5xdTfPN5L6Uhd54pzmA', "McDonald's")
('Q9OW5SmEvK3CisK5vlMVpg', "Defelice's Deli")
('kcxD07NmyWxAHvrzS7LD8A', 'Love Empanadas')
('eOXoQvgHyYLaqcpRxRUlTA', 'Wing Machine')
('66Y5ExfpgdEFIDqXSQeyiQ', 'Smokey Bones Bar & Fire Grill')
('PaM8-tqEnxJMz995ImJ83w', "McDonald's")
('7qFtiPg0gdbk911_mj6LoA', 'The Broiler')
('XYF9IMWtlv6oaZIfF996zg', 'Cast Iron Cafe')
('beqqBCKM_4aRPmRzCfk2xA', 'Hikari Uni Sushi')
('gkQNfTEV_XprRvnfZEXPWg', "Mike's Liberty Grill")
('Tf_VSzdWojiJNwNUQ3j4ZA', 'Wagon Wheel')
('-eoeNEsPZ5-Fookdtr8vBw', 'The Hideaway Grill')
('9hghdqoB4XWfEIL3llbXUw', "The Captain's Cap")
('MCXLDCA9F9Ui0VA9kuHlbA', 'Korean Food Express')
('XC7RBm6or4mf2LyKqQfuUw', "L'Orchidée de Chine")
('zd8dDaVh-BQHDieaIu-rVA', 'Frankie Boys')
('_72dMXdWbVAgwB-Bxwz-mw', 'Champions Cuisine')
('jKN4-aY6DEeAXNeL6CNLJQ', 'Tchang Kiang par le Yangtze')
('-lrxtiCaTdCJ9h7uMndsUQ', "Stacy's Pit Stop BBQ")
('kep1dCAHZydfHVgjmxl5Bg', 'Subway')
('3RHgRaCRPuLdJ6PLZL6MGA', 'Shawarma King')
('YHN7wVaOFp9wkl_w7NXLXw', 'Kens Burgers and Pizza')
('sz6_gKcHjtcpWKIZLXV85w', 'Or, The Whale')
('VbFGfmrl0VtXc10vKpj5aw', 'Porticello Restaurant')
('dfVmClBit5Hd7u9_lFY1Lg', 'Penn Station East Coast Subs')
('q9kVbGaUwsalkhyFJdNQ0Q', 'Aroma Espresso Bar')
('yBGqf8l9NOM3vZFnlxcgzQ', 'Vivoli')
('B_fi4yYSUwfF8vlHO4AmLw', 'Pizza Picazzo')
('3tPemruVItQW12O3tYnsxg', "Bylo Gyro Bob's")
('r2f0Nixhniy0Opm7Izb2xg', 'Com Pho The Ky')
('M6SrznKKLL8pPRIJFyrRMQ', 'Fatburger')
('erxmOSNUvDCmglakNyWfKw', 'Madres Mexican')
('ttKbmaIhQREGeT2esJnIMQ', 'Dairy Queen')
('gkIyPrNGpF4EGqoYWe2KBQ', "Wendy's")
('bBofiqwqKBxNBvNsP6BJzA', 'Devil Hotz')
('LFdQAkF3Bcd9NThLLHwc2g', 'Mariscos 7 Mares')
('t9H6vAxYUeMpgSwDd6J9uQ', 'Yamato')
('wA2xaBsT8d2opW_jYe1XLA', "Danny's Pizza")
('D2y7jMJiU5abpRicNpoCww', 'Starbucks')
('_cgo1s9NZYv6wOtlMOlmmQ', "A Joe's Great 2 For 1 Pizza")
('kuuMxk66wDFU5wkFQUuYCA', 'RedNile Hookah Lounge')
('vA7Fx_vRV4OeLboIw5bJlQ', "Cuda's Tap & Grill")
('W2NzlS8OJzGfDfr9oRz11Q', 'Drake One Fifty')
('ZtdCS8XjmL4P6BvMOIQWag', "Zaba's Mexican Grill")
('ui-tH5JiK-y5_tzSuowMDw', 'Nejibee Izakaya')
('ECUeprF5enaaHiRdsbGxgw', 'Vin Room West')
('5GCaHoHo547U7wkcoJDrmg', 'Shogi Sushi')
('PMMp2rBcs58y5kLP96HUaw', "Emil's Lounge")
('xlPWG6xdtXMO1rzZEaLmog', "Buono's")
('YCCNdwzFeZinB8sJ-BiQIg', 'Restaurant Grafenstuben')
('6lqzR6iuhOge4JHtGDAj4A', "McDonald's")
('KSkjE3krqsovBs7iC4x7ng', "Denny's")
('HzRRhBEh6JXFS1NCef1bKA', 'Thai Tai')
('7_vGbkiXM_eyVtIxmc0rFQ', 'Living Juicy')
('5Q4Gw1pyZnG8IlFNozxIlw', 'Native New Yorker Restaurant')
('kE7_pIsUavOAQ9LSRcKCWg', "Wendy's")
('e4qQlNEop42LoFBwv71dVw', "Ruth's Chris Steak House")
('inaFw0YwTts7_r-g84iy0g', 'Subway')
('FutUAQPBfCeTmqytfDW1pA', 'Chipotle Mexican Grill')
('QmvtdOl4PEiMizrMyEQZTg', 'Mexikhan')
('KjV_68oLLSpqR96VnV68tw', "Roberto's Taco Shop")
('JWN22sQ7cl9KjmIk0nMbUg', 'Taco Bell')
('Anvs3S2S4rYbAzzUKIVg7w', "Bara's Hut Doubles & Roti")
('SYmlrGAfgHaKhHMn21y7Gw', "Ned's Krazy Sub")
('ym7uH6ZpCfKQ1Of7eaYGCA', "Donte's Pizzeria")
('le8guyitMPMVrmY0WZ1fHg', '360 Bistro')
('pA3ltu4j31uatVu0_Gu1PQ', 'Crazy Buffet')
('gGW6x2FkWo7PBZsaB0Z3rA', "Moe's Southwest Grill")
('Tby8XOCjmqsPLwu3nI0VOg', 'Villa Toscano')
('JM9LVlM_o3k_CbCErIQYAg', 'Panda Express')
('Vn-Xqc1qkF1Vh2Z-wHkBVw', 'Bagels And Subs')
('B7yBxYH0ZHYtvrsyrrU1SQ', 'Steak Supreme')
('JBX0Bd9Va4_MtLPwX9Oosg', "Capriotti's Sandwich Shop")
('S5bNE4Pmin8OQUMOFod8bQ', 'Ciao Wine Bar')
('oL_fYqSHG63vR0TBMyoo_A', "Green Leaf's & Bananas")
('A_uOwOAkujZUhwagoKqMSQ', 'Copper Still Moonshine Grill')
('uZA-odma2Uje_kQ8ETl42A', "Ruby's Diner")
('bgAkl-VUhz1Vcoi5GHkMUQ', 'Le Ming Chuan')
('WQNEmumkvsNskweAH1d8nA', 'La Belle Province')
('zkRzJtA0Fs88LM0M5wnFIQ', "Harris' Smokehouse BBQ")
('6zm33qiJAMtjMSXGlfIFKA', 'Bella Donne Pizza')
('Oqqnw0Rz77sMDPHS_eN2aA', "Jersey Mike's Subs")
('NYpmDzwzAQyv0gQG5gBKbw', 'Pachuco')
('yiHW3QHcDEMVYQ1aw_WHNQ', 'Phô XO')
('jUY45jUOAmW5MTeU1CX7Hw', 'Myungdong Noodle Shabushabu')
('rcoAajAVBBXsBNfgKYaH-w', 'Mezza Mediterranean Cuisine')
('O7godQv-9pyQJ2JvCMiQjw', 'Tokyo Peking Asian Restaurant')
('l6ZrDTwUHZebCG3C9Va3Dw', 'La Feria')
('A21FJqt8jIE6w0hdzmvnmg', 'Cafe Zinho')
('2KkTzafNqkEKr5VTjsR3hw', 'New Spiceland Restaurant')
('MsQTe82TCbZXDPG4LOgVoA', 'Port of Subs')
('orZej0MbjDPfQzQ39dV4pg', 'Café Bazin')
('DLkaSKMoeeQO-_1C_lzh2A', 'Bairrada Churrasqueira Grill')
('_tcc4vxDoAjw0B__no0Xqg', 'Au Pain Perdu')
('l_4c__U60fVeTe4IYZBR3w', 'Biscuits')
('OM31QC8tyTOXZgK0FDz_hw', 'Del Taco')
('wWuGa3OOQJro_XGe-GKBXA', 'Kabuto')
('MtjOk7u7sp3yWyzscAIG4Q', 'Salud')
('pVLZQRs67CF4gZCEYCe_3Q', 'Hickory River Smokehouse')
('L94TmVg3KpFn9br5LlD56g', 'Wingstop')
('ZVe2Nhq3J6bWuxceiC_2FA', "McDonald's")
('CfwrsG76Wm4iLS22v_wAcg', "McDonald's")
('6NffysI3E7L4kr71dxInIg', 'Big Smoke Burger')
('QZCAx1CM8Q5NSTc-8ProOA', 'Cafe Novo')
('Dfbg3m2ce1VUzJ5i6Z7IuA', 'Desnudo Tacos')
('AOhJfJVuEPUh_in7WHDnzQ', 'Subway')
('ByNk-TOnPjoAKrk8NjCW9g', "Wendy's")
('VuCZEIRXIh82TuKezSZKoA', 'Which Wich')
('LFs5jyYdXlzi0SpAYi1eSA', "Maggiano's Little Italy")
('ztP466jMUMtqLwwHqXbk9w', 'Firebirds Wood Fired Grill')
('ZqTXN4qh0Ta1Lp8Z3v-dKg', 'Green Tea Restaurant')
('yUkOP3Tmdp1pWA7p3zHboQ', 'Gordon Biersch Brewery Restaurant')
('BA2tYMpTHR3i7X-6qtcWaw', 'Tea Light Cafe')
('F3iG7XyIsojEfFFMGXAVEQ', "Papa John's Pizza")
('KCl3RR3tC22E3cDdJXabTA', '341 Pizza')
('mvMih24zuSw_dZyU_LEY7g', 'Pizza Hut')
('scVd-lmZCNZHK5W75-4sKQ', 'Dac Biet Burger')
('4XGjbI2Ggi-kdgt9eZR83w', 'World Buffet')
('NuxrRTI2IM_vMk11vKA1ZQ', "Harvey's")
('nK0oLUifkOkzuzwHO364fQ', 'Yume Sushi')
('pXMHR0NyM_oaUIBoAsdLBA', "Agostino's Sushi Rock")
('Orj8-yuYR7WuVV1eGgv1Ow', 'Buck 15 Espresso')
('GoMlPsj-w62P58ZjUPYKmw', 'Chipotle Mexican Grill')
('_nsuZ7Fl1aMwqZGWEraQHw', 'Cora')
('8pO590eqmSe9iLVc-d183g', 'Gobo Sushi Restaurant')
('kNlna23mYfRqGv7VJByKkA', 'La Castile Steak House & Seafood Restaurant')
('1Lm1euBdgzxuPGjJbHTudg', 'Grasslands')
('s-9ZfWtECJLMnND12t6RMA', 'Hotmess Tex Mex')
('-lbN0pSYgK2BRnHNV48PMw', 'Noodle House')
('6fWgSMO1JmE2F0f2Fu7LZw', "Harvey's")
('9g0JuC-_vx35T0m3lidwBw', 'Temptations Cafe')
('awGiEZOQ7ldhrzTbibpV2w', "McDonald's")
('EO3i5kTUG7_S2OIQ23sdSA', 'Mot Na Son Restaurant')
('IeUTC__Ec2erX1QSidsvNw', 'Subway')
('_FSuj1Xrlu37MdbA5D7y0Q', "Charley's Steakery")
('dgiJTIKS1QYTW2gFyK2X7A', 'Le St-Urbain')
('LWkE8aFx5FpfzzLvyyCC-Q', 'The Painted Horse Restaurant')
('EBCuO36WpwDNhf37YIhklg', 'Guido Garcias')
('TQ-FgDYJbJhIXTvSdv-jUw', "Dillon's On Top of Central")
('sQET538GN5CKPZFawdu4lA', "Austin's Wood Fire Grille")
('x1tVA7i0WIryZKqB83wj4g', 'Eggs Oasis')
('OVQNm56wO1n68Fq5m4ruIw', "Domino's Pizza")
('r4HkiC71nB9k8Fe8zIORFQ', "Sal's Tuscan Grill")
('ajwGl90CuCZac3BKWY1ShQ', "McDonald's")
('gnRVI-w3a_WbOjukoYmTaA', 'The Bourbon Cellar')
('ryHP2wazRMgY4j4TkH7-Bg', 'Hong Far Cafe')
('aELZqOiHZYZpTubLrtX0RQ', "Phil's Family Restaurant")
('iNyWH54suA1uu7J88nVdmQ', 'Cedars Deli')
('UCnPW3drq6wzO7ovAfxqEA', 'Brick House Pizza Co.')
('yGDupwb8zuI_FMmkzRxVXw', 'Two Cafe & Boutique')
('yeTKcKUlTq-W7EJ5hPkqbw', 'Outback Steakhouse')
('av_-ePHJwSSqMtTQbNoL7g', "BD's Mongolian Grill")
('vbqZcwnXLdOFkZ4myfOTvw', 'Universal Pizza')
('N6x7JkfDLqLoO4WUHetiEA', 'Shanghai Classic Restaurant')
('fSNfKWo8AwVjx7SwsyRs_g', 'A&W')
('aPhxmyXOBKtxdv47EYkcHQ', 'Sub City')
('22lK-APGWeG1CGQWrw6U5Q', 'Thai Dressing Fine Thai Cuisine')
('xd-AnaGxEMKT2zTEheP6_w', 'Tony Marcs 420 Eats')
('VM8LZTKqtprMEs0h3CDOXA', "Big Al's Flyin' Phillys")
('PBOt2tttQHkRMuRvto2GPg', 'Chez Mai Lan')
('K6MBwTYeuLH0VsTVCLVgxg', 'MEXITACO')
('UZFDNlpMBnw21rhEZP9RIg', 'Le Lab')
('DfhzmbGPKGYSzFQ2iKrLRw', 'Pizzeria Jacques Cartier')
('vfqUUh_5KF3R7mz2XiNXGg', 'Tokyo Peking Asian Restaurants')
('r3Yj3Vc_FOdRfZ4Q4Ei2Eg', 'Maison du Nord')
('RJxkhoGxTsz545_sTlDdFA', 'Thai Express')
('qfLwyF-xr3Xpfo94-jcfdQ', 'Quotes Bar & Grill')
('ZvEJiX8HBIForfbHOfqpmQ', 'Skyvue Restaurant')
('ae_bWvkswYJZU4sOWOVVng', 'Bridgeport Cafe')
('3QRdvd5F6rnKzLLb1mIg6Q', 'Hero Certified Burgers - Church & Wellesley')
('0BaMoKDVNv-MP84BQ9EK9A', 'Jack In the Box')
('nJ0vbPf5jh5Kpe9Dno-8uA', "Guru's Chinese Cuisine")
('i-6eBvkPRtVh7cbNDS4Agw', "McDonald's")
('HeNVRBoKplaAEycrUbF0Vw', "Churrasqueira Grelha D'ouro")
('ewSh93zoRx0DIWRKU-fFwQ', "Fenwick's")
('PQaWrHy6G6uhJsR3yaEIeA', 'Fortune Food Product')
('e0CehK0lUWqd530L4-ni3A', 'Nuevo Burrito')
('sdXhQco_76dRejNaxfgacQ', 'Sit In Bangkok')
('_4noxz6NM0gBeVhZ58Emtg', "Lamanna's Bakery")
('MnveklSsns2LyYj4Mrx84g', 'Finn McCools')
('2ADoawEfSAZpnQSwVEo5Ig', 'Sonic Drive-In')
('Znh1IeGT1EbiQsZqg2Acpg', 'Firehouse Subs')
('w55IYhyLHUdsRlo_EvMmNQ', 'Table 89')
('KdGkP141oR20eclgA_VFwg', 'Nothing But Noodles')
('iPPzDL_oY8SJCjmycuXcVg', 'Buzzberry')
('ogUiKg4hL01zt2o2M5IZ3w', 'Ame')
('-x2NjuDTiphKwCixSrv_SQ', 'El Milagro')
('8h7iYO4WLnzpqEj8dozjIA', "Sorrentino's Bistro-Bar")
('Zd9VJFJjfaadaJmCMFv-RQ', 'Ephesus Mediterranean Kitchen')
('3VftCb8YwrtuqYRNNACoUw', "J & P's Centre Street Burgers")
('fp1AV66Uq9mo_9ZhZIIpcQ', 'Pizza Hut')
('5KRUJzTvvMqNFfzXOE54QA', "Diablo's Bar & Grill")
('L0qUXwfXfY4XrUL4MqQMEg', 'Restaurant 9-4-10')
('tc00Tp6qahI1vH1ZjQ2XLw', 'Pizza 786')
('g1_t8esXWq1OA1dbtTJBpA', "Papa John's Pizza")
('6kXTWYOKNgzd165vlCZPPA', 'Wow Chicken')
('94c__bSLvs3vG2lKaBKVRg', 'Five Star Tavern')
('ZZGs9idRiKRHue2RyXw9uA', "Marco's Pizza")
('oJsfjG1uh6jopK6Kc-3pdQ', 'Cavo Nightclub')
('ipEl9VOQz2GS9qaRX3MjYw', 'El Mariachi Tacos and Churros')
('xpmlQcgvRcIdBch7GbMu6w', "Wendy's")
('KNeh8oEV3mXw_mpSNS3mSg', "Big B's Hangover")
('Etf8JsZSKCg5h0O1HyI0lQ', 'The Original Steaks and Hoagies')
('L23nB3EiC0OSfP8792Bk-Q', 'RISE Espresso')
('LmYBebTFfft94uYljKptgA', 'El Campesino')
('TkrydveE1Laf_LHoKFALNw', 'Hunan Jiu Jia')
('G2Z-4U6cDsDQvT6v3FzYmA', "Ricarda's")
('Q1cWYMaKaUw2MFY7_Szb4A', 'Country Stop Burgers')
('ByFBnl90Nr2T7UUwoDQ42g', 'Le Paris')
('YTJn22qmWoQf7314HgtswQ', 'Left Seat West')
('CKNCkp6idxFd0KY18iGv5Q', 'Second Helping')
('lzRlrIWuQmHVWU4zV6yZUw', "Gus's Diner")
('5WJOM9DefIvLOIrntDIv-A', 'TrueTrue')
('2Q1FkmZyOgKZnEU_vguXLw', 'Winking Willies')
('l_Rb8er2wpk4_TZ1R_3sHg', "Church's Chicken")
('wkhxaIt6S9bQ0twAD9Svpw', 'Giuseppes Pizza & Subs')
('48RvI-rWPjRe_nuOmbaa3A', 'Burger Craft')
('sIHI1F0AkrVtJRiAr-DgIw', 'Dairy Queen')
('PLrbeJWuPlk4d0773xJ7AA', "Romeo's Pizza")
('D9IvgZeBD2qFfhIRbOcBFQ', 'Cafe D Taj')
('7RroiCTBubzq9wXmUh6pYw', 'Dee Thai')
('daLsASi-J8zee8cpZSnqjQ', 'Eribertos Mexican Food')
