9797 businesses are not restaurants.
('Apn5Q_b6Nz61Tq4XzPdf9A', 'Minhas Micro Brewery')
('opjEyudWKz_AJreQs959Aw', "Labriola's Italian Market")
('rqAZ3EyUVqxG0x6eD1Zw3Q', 'Cactus Corn')
('xpJEBXTCQh5Ib8BJrjt9Bg', 'Louis Cifer Brew Works')
('G5zO_PJ0JukksWdXG9Qbxg', 'Jamesons Pub')
('BvRYdhStop6veX2SsRkqIA', 'Shaheen Tikka & Kabab House')
('ETh03xxYk-yu3LgXY8H-lg', "Moxie's Grill & Bar")
('mXyLqsbe7FT1X8ZFOP8WpQ', 'Blue 32 Sports Grill')
('R06MTQpLNdsnr5wrCkMXfQ', "Doubleday's")
('xzMkysac7kEgObptVB6lHw', 'The Planing Mill Sports Bar And Grill')
('NfrrOcT5kg18Qprwsat5Fg', 'The Vic Public House')
('LQ6YJP3vnRorD5vUY6QPWQ', 'The Pub on Six')
('bdwU1mdkhu44yjJzqdxnKg', 'Hot Plate')
('n-AQFKbW6MnpamdtA6ECpQ', 'Cinebarre - Arboretum 11')
('N5B7OBTyNGgwU_Y2fwNcyw', 'Phoenix Public Market Cafe')
('PnLnEHM89cwJwS8MPVI2wQ', 'Cheers Tavern')
('YIpwSFLkb1geFIXyqh62rQ', 'Game Time Sports Grill')
('Z5N79y9y0d0QKTuNKqyYpQ', "Gold Rush Casino and Cafe'")
('AMzz1UU3nN7CshAFK9X9mQ', 'Le Canard Libéré')
('Cs7Zny0ijnyE9nZWSLBnAg', 'Toast')
('887ZV95R-QUkuX9GxaWqaQ', "Ruth's Chris Steak House")
('Mu4RYS7M0iGpkQ8bgzsEqw', "TJ's Pub")
('SgleOMvjLq3tMC1PrYwr-g', 'Rôtisserie St-Hubert')
('feZe17u5SPTMG8wvCmjb3A', 'On The GO Bistro')
('hbwmFNEosiv1evr6AwlnCA', 'Chick-fil-A')
('F6rZDgYtqfjs9sQC6bv81w', 'Gluten Free Creations Bakery')
('ndNFN1w2P0WxqFk9Ug8X8g', 'Safeway')
('8Xa4wXwNSYbNree-qpB7oQ', 'Wingz Sports Grill')
('r_QcMIgY2zxdcV40kK_rxw', "Applebee's Grill + Bar")
('66aDXyYQzIOS227vyMM_0A', 'Le Grand Poutine Fest de Montréal')
('rCyGqyIx88YTO3a_CLN5Ag', 'My Place: A Canadian Pub')
('gVUrHpEYjIS6iM8gSaKT7Q', 'Grillers Pub')
('N3kWVpuWHuRwYG58u5cIKw', 'Safari Bar & Grill')
('LTpv1IAniQ8QICHrIEwntQ', 'Somma Pizza Restaurant & Sports Bar')
('wJnBjCcbPK-KgRqP3dRxPw', 'Greek Tycoon Restaurant')
('uW6UHfONAmm8QttPkbMewQ', 'Island Flavor')
('VDgcNqOAf9kzvyrkYWxvvQ', 'Latin World')
('eAOWvwdmCKIgFYx1aryoZA', 'Bab Sharqi')
('4xfYFf__ushFQKncEdSZ0g', "Applebee's Grill + Bar")
('3hzXxViNJ5OIFBkanJaMSw', 'FuNuGyz Sports Grill')
('ZFeo8EiFcxMbeJkWZg2aQw', 'QDOBA Mexican Eats')
('4gPnMySEGgUAslBGYsJm5w', 'Centro Pizza')
('goOQKS6lKWT8rmM3SREgjQ', 'Chesterland Tavern')
('UGiMMw54qYxac0eE_cBbaA', "Sammy's Beach Bar & Grill")
('nXWYL8_93xZkUPvuOTFmAw', 'Hooley House Sports Pub & Grille')
('d8zFMcZ64Hwpj6IP6FscLg', 'Mr Jerk')
('kUuMZR8fPZjiCVcwPoNKlg', 'Dive Bar & Grille')
('V_jxQeTY-HU0KnSp2zmHtQ', 'Native Grill & Wings')
('7Xw_vv-ekUL2sTqipnKT0g', 'Buffalo Wild Wings')
('huOCKRwDvNqGX3KSzYawbw', 'Cafe Gelato')
('uwT7CppiYkek-Z-661sndQ', 'Sip Wine Bar')
('dtJYPbWv0cli924MqKRNUw', 'Divine Events')
('sOPBbhDCi7bJlW7dNBuITg', 'A Plus VIP Lounge')
('Jx5h4nIbANB4KDrb5l_v4w', 'Pho Cao')
('_9VQUKCkYWHfUTnxbn4O_A', "Tom's BBQ - Mesa")
('VRMNW1GXYihRxEnr1UI8hA', 'Boston Market')
('TfcQhrjJco0C_x0KVK7LwA', "Duke's Sports Bar and Grill")
('Zq9WPT7ZAOYlQ0GV8OQWKQ', 'Cluck Clucks')
('kzwiQ54fopeTgGEIkgJ2dQ', "Pt's Gold")
('wRKYaVXTks43GVSI2awTQA', 'Bob Evans')
('p8p6xfFWbxN070r5qt32Rw', "Barrister's Deli")
('npqc1DO90A5TzavGmYyGhA', 'OSS')
('k_GZE3AvfeBXp4jqUIe5vw', 'KFC')
('TH_hGGgVIEBtexcpffZXgQ', 'Harris Teeter')
('iLIlwDav3q8Qo5Ss321gdg', 'Skylark Restaurant')
('vjFZt8Rt3A3kY7yWh3qmgg', 'The Oyster Bar')
('cp0sjoiH0lHkPfHd6HkrjA', 'Le Pressing Café')
('3vta1BSPwdSulcCFMpBjDw', 'Fujiya Market')
('VVeEiDBnfekolbs8FzAD7w', 'Fuego Bar and Grill')
('mQIYGEhJEoj6MxZYqxoCmw', 'The Tandem Connection')
('0Yeb_P24sj6MwG2qmuehkA', "Till's Bar")
('BgKGlP-Dw8JONGS9BNMwLg', "Hahn's Peak Roadhouse")
('Y5ADR4UCC2_ZMHbQsLJEPw', "Shoeless Joe's Sports Grill - 1189 King")
('4oIUaWXMJcp8sVrGLVuUsQ', 'Hot Stove')
('RBPk-zxoxcficyuCATvraw', 'The Side Quest')
('lnZhnZzBiG5rD9brVv5uXA', "Menchie's Frozen Yogurt")
('3N6cRLLJnrFU31G66WHlfQ', 'Miles Farmers Market')
('1Ea8OdwUO3T1up9gYgW39Q', 'Monte Carlo Inn - Oakville Suites')
('mqPbUTDoIiT8GFp-sw0GPQ', 'Moon Light Restaurant')
('s44Pr0mXmAtxiRqz_m9CPA', "Murphy's Bar and Restaurant")
('SMsV__cmXUEEXZqmnWO6oQ', 'Riverstone Pub')
('F4w_GNeV62kxCkTrta7PdA', 'KFC')
('NkmAiOVCrwt2X-Ctv-W95Q', "Mo's Family Restaurant")
('IDxwN1IomuRDN6n6FpsQzw', 'Pink Pearl Chinese Restaurant & Lounge')
('3Phhm4suJ-9fVakKXJSMxg', 'Food Central')
('6ySAxSSx6b8bFmA7Vvh6_A', 'India Palace Restaurant & Sweets')
('tSt4noREv0eQJ8JBHzytoQ', 'Benny & Co.')
('ToHKLIjR05Rz9boWvmWaPA', 'The Corner Alley')
('3SLMbM0m_9zQObNZ9gPoXg', 'Tokyo Smoke Found')
('HgSsIF4PpESGUMu-rNPg0g', 'Oakmont Tavern')
('t6w--u6k-SZP2g0QvQIWuw', 'Tilted Kilt Pub & Eatery')
('6AgvdkMHPvAGpxs7gdx38Q', 'Public House Garage')
('HAnPo3pHgCnw8pNxJZtH-g', "Jack Astor's Bar & Grill")
('WAzIjBcsRIY7HKhTMxVeow', 'Black Dog Kitchen & Bar')
('LkfdCPTWU4BNWWpou60Lww', 'The Citizen')
('8vq9tnnH5qvnbBdeXYBJyw', 'Indian Flavour Restaurant')
('SpTqa3qXYNVZ_tE-igYoeg', 'Century Downs Racetrack and Casino')
('AlcYus9YbpE5L4y8QhbZ_Q', 'Cup & Cut')
('GatUelEiMO2tShY16y6Zrg', "Applebee's Grill + Bar")
('wXnVKTuKZaAZFwKanUXqBQ', 'I Luv Cotton Candy')
('-sb0ObLL_3_x5a-U3DL8ug', 'Mango Bay')
('jW_hNGlYJw2Q2ssYDHihfg', 'Le Pourvoyeur')
('v9DE2kjEudhPQ5Sr8IDldg', 'Savourez')
('7sqyF1oNXKWGMU0A_tVaIg', "Gentile's Bakery - Catering & Deli")
('GrfaRLXBZ6uB9QGEd0ElFw', "Bennett's Smut-N-Eggs")
('tK0jCz4i8lGV3lA6tgbpQw', 'CVS')
('BYDs_o6U4CLxJec8k1Q90Q', 'Poke Guys')
('rYihcTES0OvWnfEluM1Hqg', 'KFC')
('LrtP703Vy7mFJZCLPE49Ew', 'D & R Bagels')
('w0ArxcJ0XsyK1ZwrIf3gpA', 'Four Sevens Sports Bar & Restaurant')
('OOWSVT7NL2BlGuQyzHlvCw', 'Arisra Thai Seafood & Steaks')
('MHXMtPO-TCdOjuAHzRjLaw', 'Bäckerei & Konditorei Heyderich')
('g4rkl-BorzlT1hIz_-vsew', 'Icehouse')
('tXb1E3YDgB_13sb6wxXiQA', "Zeppe's Pizzeria")
('dE6Fv16voV-4s730fTv_AA', 'The Paddock Tavern')
('eqLnu2upLynB4UGohc6KEQ', "Picasso's Sports Cafe")
('Z-xY1V3kYwtU4kDcyxwINg', "Humble Pie 'N' Mash Shop")
('MqT4cWU_BHBm0kpxqyMg0w', 'McDonalds')
('mUONuCWBKukMO2uyVxLY5Q', "K-Vay's Restaurant")
('n8ZnxZDVtu3JrZnElOYPWw', 'The Blue Fig')
('3H1I31BQeHO017Sg92Cbow', 'Independent Brewing Company')
('6QCjUr7SmNCSDD7jKJPFYg', "Sheena's Kitchen")
('8Wm2NMAoukBC2wQR49E4ng', 'Buffalo Wild Wings')
('WPbsS2ycHcowNxFMuT3Zsg', 'Bronco Smokehouse & Saloon')
('Wo15-_WjpjO2_ffTeyUGIQ', 'Hurricane Grill & Wings')
('zRSUXYmoPraF1YSWG59gFQ', "Winchell's Pub & Grill")
('ewaHMKX-W0zatENPv2oQRg', 'Hooters')
('WGx8xzim-5whlePsNP8YZQ', 'Bob Evans')
('75PWix842os1EbzzXgAPlw', 'BLAM!Wich')
('SrLV2Ymn39DZsKjyYHdaBA', 'The Passenger')
('tGeWVgHBoAXVuogF2fxOwg', "AJ's Pizzeria & Diner")
('zwxBTPOR020qUXjzPTWBFw', 'Jack in the Box')
('hTdV1_Xn1j6yhpIR7CgCJQ', 'Lobster Bros Seafood')
('oOf6oJTIJskT-ATwarn7Qg', 'No. #1 jerk')
('939j88ceB05Te3D7kQPwSA', 'VooDoo Rooftop Nightclub & Lounge')
('wlm9HjyeW20anJ-kVEMY6g', 'Plato Pronto')
('vpsc8vfnkaEd7-49_lz9Zg', 'Second Breakfast')
('2CWGr0FqPmCGoJA8mkXjng', 'The Halal Guys')
('jiI90EuRPaU_9K6KknDJ1Q', 'Food Lion')
('dQ8kST_dfWcZVcLlIk7yRA', 'Kimmyz Tatum Point')
('1hrX1vHaUgllWH6i876oAw', 'Mariachi Estrellas Del Pacífico')
('gKx8NvXTyJo78xQFHPV7GA', 'The Friendly Greek Restaurant')
('azy4-i93S7S7uN3pYGMddw', "Prankster's Too")
('AENfk_QSfppnOAdIPhZz9A', 'DQ Grill & Chill Restaurant')
('cEfE7wuA68LBEH6581osNA', "Can't Stop Smokin' BBQ")
('5F69VFIk-l3THUZX1qeYSg', "Applebee's Grill + Bar")
('O1ird5yRyuDFnOmYu90OoA', 'Round Corner Cantina')
('nkTKlVAdh7DhFJMFvQiAXQ', 'Paninis Bar & Grill')
('ihmSghXYrD3j1HUrhw1QDw', 'PDQ')
('TQS5_3i7p98jdrrk7R8UGQ', 'Restaurant Messina')
('WmtJ1bArMGPPLdwsIPahBA', 'Peacock Indian Cuisine')
('vmOnhwEiqBOCaTegD_cUDg', 'The Garage Bar')
('eIifLpbHSqxFnKYal_GZqg', 'Peppercorn Takeout')
('7gTsWzLnmEQBesGRtI9yew', 'Cacao 70')
('Ey1iEY8yAQG5MEBZPQ_niQ', 'Fremont Hotel & Casino')
('fHCu2seSfCZRxbBGzTRf8A', 'El Rey Del Pollo')
('fAwhBVaUNq47x_ZU-s5GcQ', 'Farmers Market')
('ZBow_7ssh7tWEAyLIrKGtg', "Woody's Catering")
('VYNriOotbFZ7Qj_6jwUB5g', "Sergio's Italian Gardens")
('k_TFJp2S1W1l1Op6v5uUYQ', 'Chick-fil-A')
('NGzFFbel09jZLFvAHPn8XQ', 'Edelweiss Cheese Shop')
('7vgWonwfqRt9pxR1c00Ulw', 'Le Tandoor')
('UDqYqhDaW96-y7l79VMODw', "Applebee's Grill + Bar")
('iElhAkvh_xzqPRQNPwowgA', 'Green Bean Restaurant & Catering')
('uMtemf94DJou9cS14fMw9Q', 'Oakwood Hardware Food & Drink')
('LTil5mtFTtmQUSE1CtWDIg', "O'Finn's Irish Temper")
('JuPngDeQHVgBLH-VIET_ag', 'Native Grill & Wings')
('2M3tt_0FfsDiy-DDWIH4dg', 'Top Brass Restaurant & Cocktail Lounge')
('hhU7jioc95mLYqGyR05nbA', 'Pâtisserie St Martin')
('qaNt4vtVdge_S68DVjw5Jg', 'The Queen And Beaver Public House')
('HpKcIWjcq3osQ13pBF0RXw', 'Home Team Sports')
('ySxzIcTscvvmDIh7LaSIVA', 'Smoothie King')
('WXd7r6Yvjxhyo1L6R3lQMA', "Mario's South Side Saloon")
('4lCTd6-EzOuKl4YbH9gnxw', 'The Detroiter')
('4ecT2Mkc8C_AlCkPvMH4DQ', 'Boston Mills Brandywine Ski Resorts')
('RTmIbq33chUSa-etGiF8Lg', 'Bombay Indian Grill')
('zllWgXyzGWhTG00FK0IUtw', 'Glenway Premium Pub')
('HTr7gRurfw_A6EgwGEwc4g', 'The 3 Brewers')
('TgJQpbDG6_wEJFfrXKpcCg', 'Boston Market')
('iXnHrmTw-r6LNzC2MjjrWQ', 'Casa Rasta')
('ZLPPaAJnEvN8311zwXvw6w', 'Touch Down Foods')
('7JL9pomC3Gj0gpaV4_X42A', 'Fromagerie Qui Lait Cru')
('jssu1TuRVEEyCYDReaCfqQ', "SK's Kitchen")
('stS3VlMGMRcSXOn22ZpE6A', 'Bob Evans')
('ze1qR5KCkfL9bNAOYDE9tQ', 'Ace Bar')
('tIby_wfzpZ5QH02IWFNogg', 'China Sea by CSU')
('9muoOpBgraI4xtP0ZhZACA', 'Betty Lou Cruises')
('7oG9TB-SFG9Tpo3QvrYIUQ', 'MadisonTap')
('8g8HWvgVT5M07yToLGWOcQ', 'Le Réservoir')
('ZWSxWX5o-O0V6fhgfdoC-Q', 'Allo Vélo')
('otI0jgKa39SZR-DG_rSyeg', 'Carribean Cuisine Delight')
('mFGV_SNc3XQhBBuRxD3xgw', 'M Resto-Bar')
('GjZmO5sGxsxwfQpqy-DTvA', 'Chefery')
('fBdZXMF0QyhehC_fri4JZg', "Charlie's Down Under")
('I6ocB-D9EAlk3Y9xGll1qA', 'Taverne Of Richfield')
('vybX7mQJLYm6HP1vRxZBDQ', 'Ugly Broad Tavern')
('c9_CzbcXU6Rdn0MravsQ2w', "Aunty's Kitchen")
('RRH8jkTF8K2vPDgr0hNGkg', "Ski's Saloon")
('jf_h_Y8iNaduXJvpgLRPng', 'Native Grill & Wings')
('a1r6nEAb6Va3x5IgIz5kGQ', 'Jerk Spot')
('3JnO3AEqRD8DbXkWP-gTFw', 'Arizona Sandwich Co. & Catering')
('xGaptKX4_5cT9lGxwbZsQQ', 'Melk')
('O4kYogia0fbF85pCX10XiA', 'Koi Poke - Arcadia')
('gh07-uAHqmDZkj_u9rQHZQ', 'The Blue Moose')
('qfr7bHu1-VXUTQWXoSMf9g', 'The Play Factory')
('L8qHCpeeF2_5RN_5RJQyYg', 'Teakwoods Tavern & Grill')
('eBM0sIlZSaMkpQLxkVgrjg', 'Septembers Bar')
('OixAX9U7ukSgEc8SIzScow', 'Resto-Pub 100 Génies')
('fHo_ycJ1OQ_H7DyctJhr6A', 'Blue Ox Central')
('iDCAMAg7XPBx2g-82AIsgg', 'King Place')
('p747aVZiQL7H3Q0z-sMGcw', 'Sunny Bridge Natural Foods & Cafe')
('j87Y1hyifp-XHN5HuVtpPA', 'Reyna Foods')
('EQDCa1PH6OoLjcEIdU9IXQ', "Bonnie's Bar and Grill")
('fv6vl7th2L2GIwGAbtpHow', 'Mad Rose Pub')
('jesEHiUvX8CzF9gRjwMZ3w', 'Casa Barcelona')
('GHs7grPeyVPwmiVKhhfMvg', 'Westgate Entertainment District')
('0vvPP6Ir2723kjRZFJg7tg', 'Sebastians Deli')
('Xm0BdTIRqtTIgacx_JjICA', 'Hoopples')
('84DjKzaR26vphu9fNI9nKg', 'Sierra Gold')
('tWUN42qR7df6PLS9OPqPnQ', 'My Fit Foods')
('PiSHKXidMvVMGpTkWO7qiQ', "Fry's")
('k4PFaATcPO0tvTetNbdm8Q', 'Trattoria Giancarlo')
('dmg1WD9FPMnT256qrjnO3A', "Shoeless Joe's Sports Grill - Vaughan")
('uxpCyMp4R10WRjqr9JsaPA', 'Restaurant Kashmir Cuisine Indienne')
('ENbidKNjm_S9Ek5mOdmH5g', 'The Church Public Inn')
('kiweDovyXezj-ZMpB1tlXg', 'Village Pub & Poker')
('_jT1b-OdicvJ9LyKj_M1Ww', 'Liberty Burgers & Wings')
('_9oqVZqNvn-lWZUM4Ywy8A', 'London Fog Cafe')
('_-o4WsGS2yhFneiuMTNdSA', "Monti's Smokehouse BBQ")
('0Hy2VE9tqTo4QbovMz3xrQ', 'Masala Kitchen')
('km5aBHRss5ir_B0jvEErzQ', "McFadden's Restaurant and Saloon")
('MZgIUrRRF3AuTLzbSgGEIw', 'Tinnels West Indian Take-Out')
('MSTOwBudS6bQNBz5zP1aeA', "Mango's Caribbean Restaurant")
('gcouHCQrswvakJ6xSEKtFQ', 'Chick-fil-A')
('gANq4UePoyWdAdfPBUMELw', 'Pita Pit')
('qy4WKXTBkqD4zX0rohYF8Q', 'Forget Me Not Cafe')
('LlCbRAZfVkyqL21yKSyd4w', 'Village Pub & Poker')
('9km51KaQujxsSgdaG9gYSw', 'Paina Cafe')
('aFQQMQlUIW9KajS6oH5kyw', "Domino's Pizza")
('LmXxzIkRDzAiVPztnkBb_w', 'Boots & Bourbon Saloon')
('m4_qthbDlYptibVQ1SCvNA', 'Smoothie King')
('NrJSy3dgcXErFtOKGREmnw', 'Aft Kitchen & Bar')
('UwiaB0aQvE_jUzlGaDtl_w', 'Peanuts Public House')
('x_SK4kvfWdCDDBmA_ErxqA', 'Pasand')
('JZnefBrxlWJnuvVYd79Uxw', "Church's Chicken")
('4oeqftAA2w9rcffOFaxFLA', 'El Rey De La PiñAta')
('Ec9CBmL3285XkeHaNp-bSQ', 'District One')
('MhPYEJxc12CcQ4VdBCnyiQ', "Rochester's Family Dining & Sports Bar")
('T3P_qFArgkIx5BT3FKzcJw', "Uncle John's Candy Shack")
('D6Ad4nNRANc5K8-vVdJrjg', 'Gordon Avenue Market')
('MOXetwOaB2Qp3aA73Pbyuw', 'Litchfield Taproom')
('sCn98q1h6-TM0SUPoZqH-A', 'Green')
('8CPVh2uBLLYTIfv65j9wlQ', 'Rocky Top BBQ Co')
('7LURynIRYeS7jcfadeRASg', 'The Chickery')
('rkBFX7M_Dn-S58NU4KNpXw', 'Chardon BrewWorks & Eatery')
('H04OwE1krkfF6fQwpLycrA', 'Ragin Cajun Sports Bar')
('DF3fGWKavF6E0VSeawkR5A', 'The Gallery Studio Cafe')
('A5qHFRJOZZuEHi4yXTR2Kw', "Original Joe's")
('SqTAlszocy9n2ExQWRVSgg', 'Karachi Kitchen')
('sFz9UyOTZLMAfSP0yyIODQ', 'Thirsty Dog Brewing - East Bank')
('u7CxxEzx8hvjoJ8onN4zTg', 'Pittsburgh International Airport')
('5-Tg1LvdVPi5BHYr6AM-ew', "Shoeless Joe's Sports Grill - Brooklin")
('jnEeU5rAhKt-ORxk9L1LYw', "Fat Willy's")
('8LUM4M_OzTDg_XWn5fiR8A', 'Moonlite Express')
('kb56PJRc9_Wtyp5ZCw1sVA', 'Bar B Q Tonite')
('fwNr_6LawnOGByoh97t2qg', 'Taqueria Castillo')
('8HAsNLoSr3xi5rwQretp3w', 'Patty King Bakery')
('LDsrSV57kYH7Lg_27ifAyw', 'La Fromagerie Hamel')
('7Kg-9MoGN1IlhMESAt8_Jg', 'The Grill Pit')
('Q5bysqWbnrahbf4R0OTSKg', 'Carnivores Restaurant & Sports Bar')
('FTA3Qoa7C4aTx_KE75nJ4Q', 'Fox News Sky Box')
('-JwSuDqyFILFJmVpjrVbwA', 'Half Moon Sports Grill')
('n1kiEJzNkjGHae4hgbr_ZQ', "Uncle Matteo's")
('iCRZZLIo6nTXkNBNcMXeaw', 'Gourmet Aldo')
('f1mT6WrHD0YrQGVlw4kTKg', 'Ravella Hotel Firenze Lounge')
('C3hovX-UcG8vfGN90eMnKw', 'Sol Caribe Puerto Rican Cuisine')
('A_vo-3ZKB2hFmoARMxBoxw', 'QDOBA Mexican Eats')
('6uQaCL5flPwh40Uaga7mWw', 'Yesteryears Goodtime Pub')
('-nYB-fMXn2i_hcyQ6lY9oA', 'Great American Cookies')
('rlFEKTaUgQqN4O9ow3LO9w', "Atria's")
('59YbAeuiz0isJtRNKATTKw', 'Bacon Bar')
('nez7DOn1hQ29H6pT594a2g', 'The Mermaid and The Oyster')
('gJGxDa_JHoxfZUsffPNrIQ', 'Ventito Bakery')
('LfFX9JP14kG3-ccuJ_XkJA', "Pumpernickel's")
('XtE_J8DZXgjFbW1xVkqmUw', 'H2O Poke & Sushi Burrito')
('fh2orgchOaQk7jQn9Kk6Vg', 'Fade In Cafe')
('DrEske7G36S__6PwW8GHYg', "Original Joe's")
('W7Dt3b6H_pMIHfxn49Pkzg', 'Buffalo Wild Wings')
('cgNGE9wZMedmfNOGIGi0fQ', 'Po-ke')
('ym5FOqL6tGbgynzwKMHZuw', 'Crab Corner')
('xd94CG9wqwLQvPsrSC1l9A', 'Next Door Brewing Company')
('-tuB5PlfknSGNvDCKBLbnA', 'The Fan Club')
('-rKuAcB5suEWKhcUiqr13w', 'AllStar Wings & Ribs')
('3r5FidzFQ9rfAoQOtixfxA', 'Halal Shamiana Restaurant')
('XxnJZbFBJ8BKPg0_4eJdAA', 'Chick-fil-A')
('Z2sf4YFtB_bCyDlqJIXJew', 'Arz Fine Foods')
('s2RCw9-DB3r4XyUMxYiOKA', 'Izakaya Sushi House')
('nGGHX9HSHHWTyTCaPVxU7g', 'Biryani Corner')
('yyeBHUVfmqhEpF3BlXdJ0w', 'Crave Cafe')
('n8DQv0x0JvBr_p5bywvxjg', 'The Edge Bar & Grill')
('6pBk86yhYmSK37n-iauS_g', 'HoneyBaked Ham')
('S1dTkm84MHmGbOuBF7PhwA', 'Hôtel et Café Ambrose')
('-wXyBph4d0IQlQrS8H1rDw', 'Senti Restaurant & Wine Bar')
('oDxvrLYe5SiQKdJlGhheoA', "Baja Joe's Mexican Cantina")
('-eJmNm0j12v1wuyIkfj7yQ', 'Honest Weight')
('VhgHIT3Krb278n5RcPXVsg', "Bergie's - The Occasional Place")
('9tfw-OEfpF0qC2hSzRks6g', 'Hair of the Dog')
('1PUPTbQRums97s6yfTnA5A', "Pooley's")
('GmNopSP1X3tRjmLgUOG3BQ', 'Rei Do Churrasco')
('gI6rLFU0jwO-wHEsl__5QQ', 'QDOBA Mexican Eats')
('Xs2f4l-bhhe6Uc2G0v_mIw', 'P. A. T. Spring Garden Market')
('5nWfU-qheLL-JzwYgHe_cQ', "Gallagher's Sports Grill")
('G3dMzC98ZiTdPGpynfCJTg', 'Southern Ridge Golf Club')
('bmW6tlbIrcfxsCZ1d-kmyQ', 'Porta Via')
('CM7IDKFxV6p5FdptjXsr8A', 'Kellys Landing Bar Grill Hub')
('JLVMsQuWLMi6dNjvcs5Y8A', 'Eat At Will')
('vUqRC00T0cy17U5NsWW1Ow', 'Salsita')
('9lDpO8fpgZKd18yskBM3Zw', "Diamond Men's Club")
('MjWXADkWFj8g8sjYAYwvkw', 'Les Trois Tilleuls')
('b4RHh9w1zyuw6eqm7m5hGw', 'Augies Pizza & Ribs')
('WF067eOghIq5_TXrcEPTFw', "Pat's Homestyle Jamaican Restaurant")
('gkAWemHxnnAawJ6CThOrvg', 'Ossington Stop')
('x9f9NBMweyyjCQHuc9K4sw', 'Uptown Brie')
('XbqubzcmF98MI_6ADrnLPQ', 'KFC')
('yZWocAychMYJMgc-j5K3uw', 'Bob Evans')
('7UUspdKZeZ_htCYUTNYSMQ', 'Red Rose Cafe')
('ScdtR67jO-p_ZIpVbZPRfw', 'India Garden')
('G5qOZI12XTSowKZzlq_5lw', 'Abruzzi Italian Cucina')
('sTV4qyjDkY5cLvx2omtLyw', 'Wildly Delicious at the Distillery')
('eXgDqKD7-sojyzh6q7PJ4g', 'The Sweet Gallery')
('Q28MO9hEMyG0xrAnOF-dSw', 'Stand Up Scottsdale Comedy Club')
('a1Pf4wSob48LKqimWzmyGw', 'Chick-fil-a')
('U6TrcSV3H7WHd7lCnz3Lzg', 'La-Zee-Za Pizza & Pub')
('rt0Mkl8IcCPaxbCzWOBlcg', 'Eat More Restaurant & Cafe')
('dgnHAO8BuuwQvvDNt57oaw', 'The Swan at Carp')
('vTKCl3v71Dw8yW7-Iblj3Q', 'Dandylion Restaurant')
('5D3cAYturwbEqnj52b1Tmw', "PT's")
('0XShilFeaLNOWdZK7qe7Nw', 'Royal Paan - Brampton')
('OScYt1v7Z31I5uzISnistA', "Lena's Roti & Doubles")
('zdqvzYtIZYMCRAQRNfcKIw', 'India Sweets Restaurant')
('KhXu_LqzbJHQIt8ohpN1_w', 'Ruse Vegan Kitchen')
('DhG5IZrfdnA19ZAyU475Jw', "Oliver's Ale House")
('e3f5-nR7X0Nn8NOcqjHeOw', 'Freshii')
('y1-dT-QJa-iGmirS6zA3oA', 'Taste Of Tandooree And Sweets')
('9ndVov_akDmcn5ZgAtNaXQ', "Loco Lou's Grill & Bar")
('NYsh17F0sWm-e7fVdm2CSA', 'Brickworks Cider House')
('AeIO-BNccGmNpikIj95Dig', 'Gospel Cafe & Restaurant')
('8WA2kwCm7AEcDPTJaJjVuQ', 'Shalimar Country Club')
('yVNaMEBUslR_7GbFhurJEg', 'Le H4C')
('N6MzDoao6s68nAIW8vS9dQ', "Biaggio's Pizzeria")
('UXqm21CiFIojOZdALb-AaA', 'Boston Market')
('4x8N-KO2TFJFVveefrQiSw', 'Major Milliken Pub & Eatery')
('ujvwI2lE-gbzGrEt1WSdhQ', 'The Kingston Social House')
('x0WXXrdRLk37cDPjL6ZWSA', "Domino's Pizza")
('6G_S11aSDjdYnvqRaF24_w', "Scruffy Murphy's Irish Pub")
('iyFZ9sfWWeMDNhtmdl9MvQ', 'El Wiscorian')
('czhels9QL_TAAtLbBtnkow', 'The District')
('pxv5jBUOgsg6Rf6Z88e4mg', 'The Attic Ale House')
('gh0zYY9hrmJHWsHhyUILsw', 'Fountain Pub & Grill')
('F6jPL9DUEIdglvD0Fq23xg', "Subs 'n' Bubbles")
('Sc2_TGgW-qBj1nkkxBkeQQ', "Fergie's")
('-Sgt6wFx05Ox-O1ZSC3LOA', 'The Little Greek')
('KqxJcRmPEdiUTXHwsZcOZw', "Annie's Gourmet Italian")
('WkUTBoFgS-8jg9eV-DUkqQ', 'Merante Brothers Market')
('Nuaq4sjDvZqJgFf_sGhbMg', 'Chez Dallaire')
('UBv8heCQR0RPnUQG0zkXIQ', 'Biryani House')
('KlfmffxBzMpAf7PaYPNflQ', "Mr. Wonderful's Chicken & Waffle")
('DscqZ5DUZSWTggbv6N_j3Q', 'Taquizas "Yiyo" Catering and Party Supplies')
('HqhiUa-_BiVzFU8YHCd8kA', 'Les 3 Brasseurs')
('GFoJkebYoK2sigk3H8lUlg', 'Twisted Cactus Brew & BBQ')
('H7z0JH-i_KqhrsZhEDBpVA', 'Dominion Pub and Kitchen')
('6Li3eGHOHaqfR9E8oaI1yg', 'Mr Jerk')
('BK0aj0VSZHu2-HQMrI8sEw', 'Karizma')
('E4Q3BmabDvPKLK4SP28pEQ', 'Shooters')
('zPAMOTc_VEfgPxseUtWw-w', 'URBO')
('JU2K7-ZmLZWc43ASTs7T1Q', 'Native Grill & Wings')
('MHxce6ztMkbYHR8z3Z1q3g', "Jack's Deli & Restaurant")
('4Bs-aIKHYp0yC0ily4j0JQ', 'KFC')
